URLs,Labels,URL_Word,D1_noOfDotInDomain,D2_noOfDotInHostname,D3_noOfSPInDomain,D4_noOfSPInHostname,D5_noOfDigitInDomain,D6_noOfAlphaCharInDomain,D7_ipInDomain,D8_noOfSusWordInDomain,D9_noOfSubLevelInDomain,D10_lenOfBrandname,D11_lenOfSubDomainInDomain,D12_avgWordLengthInHostname,D13_longWordLengthInHostname,D14_hostLengthInHostname,D15_noOfHyphenInHostname,D16_noOfUnderscoreInHostname,D17_gTLDExistInTLD,D18_entropyNANInDomain,D19_brandInSubdomain,P1_brandInPath,P2_noOfSubfolderInPath,P3_noOfAlnumCharInPath,P4_noOfSPInPath,P5_poiDistriOfAlphaInPath,P6_poiDistriOfNumInPath,P7_queryExistInQuery,P8_noOfDigitInPath,P9_avgWordLengthInPath,P10_longWordLengthInPath,P11_noOfHTTPSInPath,P12_entropyNANInPath,U1_atExistInURL,U2_baseUrlLengthInURL,U3_noOfQuestionmarkInURL,U4_noOfSlashInURL,U5_ratioOfHyphenInURL
http://www.uts.edu.rs/modules/mod_custom/tmpl/forms.asp.htm,1,http : / / www . uts . ed u . rs / modules / mod _ custom / t mp l / forms . asp . h t m,3,2,0,0,0,11,0,0,4,3,3,2.75,3,8,0,0,1,0.476,0,0,3,31,3,0.061,0.0,0,0,5.333,10,0,0.704,0,59,0,6,0.0
http://www.realtor.com/realestateandhomes-search/Niceville_FL,0,http : / / www . realtor . com / real estate and homes - search / nice ##ville _ fl,2,1,0,0,0,13,0,0,3,7,3,4.333,7,10,0,0,0,0.388,0,0,1,35,2,0.368,0.0,0,0,12.0,18,0,0.491,0,61,0,4,0.016
http://erotica-t.jp/shop/4330/realtime_detail.php?realtime_id=4670978,0,http : / / erotica - t . jp / shop / [digit] / real time _ detail . php,1,1,1,1,0,10,0,0,2,9,0,3.333,7,10,1,0,0,0.597,0,0,2,25,2,0.195,0.195,1,4,6.5,15,0,0.659,0,49,1,5,0.02
http://moralogy.kr/paypal.dk/Login.php?SSL-SSH=07101&id=26c09685b215d8e8d0e8d018f5875d5f,1,http : / / moral og y . kr / paypal . dk / login . php,1,1,0,0,0,10,0,0,2,8,0,5.0,8,10,0,0,0,0.314,0,0,1,16,2,0.368,0.0,1,0,4.0,6,0,0.664,0,38,1,4,0.0
http://elogos.com.ar/att2/,1,http : / / e logos . com . ar / att [digit] /,2,2,0,0,0,11,0,0,3,6,0,3.667,6,11,0,0,1,0.415,0,0,1,4,0,0.354,0.195,0,1,4.0,4,0,0.528,0,26,0,4,0.0
http://kansaicpa.com/DrOPboX/,1,http : / / kan ##sai cpa . com / dropbox /,1,1,0,0,0,12,0,0,2,9,0,6.0,9,12,0,0,0,0.285,0,0,1,7,0,0.368,0.0,0,0,7.0,7,0,0.482,0,29,0,4,0.0
http://k2mechanism.com//js/www/Secure.paypal/login.php,1,http : / / k [digit] mechanism . com / / j s / www / secure . paypal / login . php,1,1,0,0,1,13,0,1,2,11,0,7.0,11,14,0,0,0,0.26,0,0,3,25,2,0.114,0.0,0,0,4.167,6,1,0.668,0,54,0,7,0.0
http://delkainnovo.com/administrator/googledrive/logs/Purchase/googledrive.php,1,http : / / del kain novo . com / administrator / google drive / logs / purchase / google drive . php,1,1,0,0,0,14,0,0,2,11,0,7.0,11,14,0,0,0,0.26,0,0,4,50,1,0.015,0.0,0,0,8.333,13,0,0.415,0,78,0,7,0.0
http://www.angelfire.com/on4/kingstonlasercutting/,0,http : / / www . angel fire . com / on [digit] / kingston laser cutting /,2,1,0,0,0,15,0,0,3,9,3,5.0,9,12,0,0,0,0.363,0,0,2,23,0,0.176,0.022,0,1,11.5,20,0,0.359,0,50,0,5,0.0
http://mimediacenter.info,0,http : / / mi media center . info,1,1,0,0,0,17,0,0,2,13,0,8.5,13,17,0,0,0,0.232,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,25,0,2,0.0
http://www.wpturtle.com/as/52de4826adee3ab01d680f35e0a693ee/,1,http : / / www . wp turtle . com / as / [digit] de [digit] a dee [digit] ab [digit] d [digit] f [digit] e [digit] a [digit] ee /,2,1,0,0,0,14,0,0,3,8,3,4.667,8,11,0,0,0,0.375,0,0,2,34,0,0.069,0.203,0,18,17.0,32,0,0.294,0,60,0,5,0.0
https://evnts.rocks/,0,https : / / ev nt s . rocks /,1,1,0,0,0,10,0,0,2,5,0,5.0,5,10,0,0,0,0.314,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,20,0,3,0.0
http://www.it-director.com/technology/content.php?cid=2222,0,http : / / www . it - director . com / technology / content . php,2,1,1,1,0,16,0,0,3,11,3,4.0,8,13,1,0,0,0.565,0,0,1,20,1,0.368,0.0,1,0,6.667,10,0,0.503,0,49,1,4,0.02
http://anxiety-depression.com.au/modules/taxonomy/content.php?user=abuse@shishangxiaoyu.com,1,http : / / anxiety - depression . com . au / modules / taxonomy / content . php,2,2,1,1,0,22,0,0,3,18,0,5.5,10,22,1,0,1,0.477,0,0,2,25,1,0.184,0.0,1,0,6.25,8,0,0.506,1,61,1,5,0.016
https://ru.wikipedia.org/wiki/Internet_Explorer,0,https : / / ru . wikipedia . org / wiki / internet _ explorer,2,1,0,0,0,14,0,0,3,9,2,4.667,9,12,0,0,0,0.375,0,0,1,20,1,0.368,0.0,0,0,10.5,17,0,0.503,0,47,0,4,0.0
http://strategicimpactplus.com//,1,http : / / strategic impact plus . com / /,1,1,0,0,0,22,0,0,2,19,0,11.0,19,22,0,0,0,0.197,0,0,1,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,32,0,4,0.0
http://lebonusage.over-blog.com,0,http : / / le bon usage . over - blog . com,2,1,1,1,0,21,0,0,3,9,10,5.25,10,11,1,0,0,0.49,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,31,0,2,0.032
http://www.qudosoft.de/tag/sicherheitsluecke/,0,http : / / www . qu do soft . de / tag / sic her he its lu ec ##ke /,2,1,0,0,0,13,0,0,3,8,3,4.333,8,10,0,0,0,0.388,0,0,2,20,0,0.184,0.0,0,0,10.0,17,0,0.383,0,45,0,5,0.0
http://www.jpvote.com/js/index.htm?amp;app=com-d3&us.battle.net/login/en/?ref=us.battle.net/d3/en/index,1,http : / / www . jp vote . com / j s / index . h t m,2,1,0,0,0,12,0,0,3,6,3,4.0,6,9,0,0,0,0.401,0,0,1,10,1,0.368,0.0,1,0,3.333,5,0,0.7,0,34,2,10,0.0
http://heerlijkheidwolphaartsdijk.nl/wp-admin/t,1,http : / / he er li j k he id wo lp ha arts di j k . nl / wp - admin / t,1,1,0,0,0,28,0,0,2,26,0,14.0,26,28,0,0,0,0.168,0,0,1,8,1,0.368,0.0,0,0,2.667,5,0,0.762,0,47,0,4,0.021
http://salesprotocol.com/special/project/wscan11/mutual/enterprise.php,1,http : / / sales protocol . com / special / project / w s can [digit] / mutual / enterprise . php,1,1,0,0,0,16,0,0,2,13,0,8.0,13,16,0,0,0,0.24,0,0,4,40,1,0.012,0.018,0,2,6.667,10,0,0.468,0,70,0,7,0.0
http://service.ltunes.id.sicoa1.com/app/602b01530047b821935a481907aae2b3/,1,http : / / service . l tunes . id . sic o a [digit] . com / app / [digit] b [digit] b [digit] a [digit] aa e [digit] b [digit] /,4,1,0,0,1,23,0,1,5,6,17,4.8,7,9,0,0,0,0.401,0,0,2,35,0,0.031,0.25,0,25,17.5,32,0,0.289,0,73,0,5,0.0
http://services-runescape-com-css-forum.totalh.net/login.html,1,http : / / services - runes cape - com - cs s - forum . total h . net / login . html,2,1,4,0,0,37,0,0,3,6,32,5.286,9,9,4,0,0,0.525,0,0,0,9,1,0.0,0.0,0,0,4.5,5,0,0.629,0,61,0,3,0.066
http://www.clothingstyles.net/,0,http : / / www . clothing styles . net /,2,1,0,0,0,20,0,0,3,14,3,6.667,14,17,0,0,0,0.314,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,30,0,3,0.0
http://realtek-download.com/realtek-fast-ethernet-drivers/,0,http : / / real te k - download . com / real te k - fast - ethernet - drivers /,1,1,1,1,0,18,0,0,2,16,0,6.0,8,18,1,0,0,0.432,0,0,1,26,3,0.368,0.0,0,0,6.5,8,0,0.581,0,58,0,4,0.069
http://lawguide.cc/onedrive/,1,http : / / law guide . cc / one drive /,1,1,0,0,0,10,0,0,2,8,0,5.0,8,10,0,0,0,0.314,0,0,1,8,0,0.368,0.0,0,0,8.0,8,0,0.464,0,28,0,4,0.0
http://www.viverelagheula.net/wp-content/plugins/akismet/paypal.com.au/initthi.html?UsingSSL=&amp;bshowgif=&amp;cmd=SignIn&amp;co_partnerId=2&amp;errmsg=&amp;i1=&amp;pUserId=&amp;pa1=&amp;pa2=&amp;pageType=&amp;pp=&amp;ru=&amp;runame=&amp;siteid=0,1,http : / / www . vi ##ve re lag he ul a . net / wp - content / plugins / ak is met / paypal . com . au / in it th i . html,2,1,0,0,0,20,0,0,3,14,3,6.667,14,17,0,0,0,0.314,0,0,4,45,4,0.015,0.0,1,0,5.0,7,0,0.656,0,83,1,7,0.012
http://orngem.myfreesites.net/,1,http : / / or n gem . my free sites . net /,2,1,0,0,0,20,0,0,3,11,6,6.667,11,14,0,0,0,0.314,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,30,0,3,0.0
https://www.moviehungama.in/,0,https : / / www . movie hung ama . in /,2,1,0,0,0,17,0,0,3,12,3,5.667,12,14,0,0,0,0.342,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,28,0,3,0.0
http://kolbasa.ru/products/vareno_kopchenye_i_polukopchenye_kolbasy/__7/,0,http : / / ko lb as a . ru / products / v are no _ kop chen ye _ i _ pol uk op chen ye _ ko lb as y / _ _ [digit] /,1,1,0,0,0,9,0,0,2,7,0,4.5,7,9,0,0,0,0.332,0,0,3,45,6,0.111,0.007,0,1,17.0,40,0,0.624,0,72,0,6,0.0
https://crmsuqnm.files.wordpress.com/2015/04/ricoh-image-scanner-is200e-drivers.pdf,0,https : / / cr m su q nm . files . word press . com / [digit] / [digit] / rico h - image - scanner - is [digit] e - drivers . pdf,3,1,0,0,0,25,0,0,4,9,14,6.25,9,12,0,0,0,0.345,0,0,2,39,5,0.0,0.184,0,9,4.875,7,0,0.674,0,83,0,5,0.048
https://quizlet.com/subject/kyoto+protocol+of+1997/,0,https : / / quiz let . com / subject / kyoto protocol of [digit] /,1,1,0,0,0,10,0,0,2,7,0,5.0,7,10,0,0,0,0.314,0,0,2,26,3,0.154,0.071,0,4,14.5,22,0,0.64,0,51,0,5,0.0
http://portalessantiago.cl/drive/auth/view/share/,1,http : / / portal es santiago . cl / drive / auth / view / share /,1,1,0,0,0,18,0,0,2,16,0,9.0,16,18,0,0,0,0.224,0,0,4,18,0,0.015,0.0,0,0,4.5,5,0,0.479,0,49,0,7,0.0
http://www.envirostream.net.au/wp-content/uploads/2012/cool/72f5fa0f33dacce8a728e8fd3c4c1760/,1,http : / / www . en vi ##ro stream . net . au / wp - content / uploads / [digit] / cool / [digit] f [digit] fa [digit] f [digit] d acc e [digit] a [digit] e [digit] fd [digit] c [digit] c [digit] /,3,2,0,0,0,20,0,0,4,12,3,5.0,12,17,0,0,1,0.383,0,0,5,56,1,0.002,0.01,0,21,9.333,32,0,0.418,0,93,0,8,0.011
http://kca.nickelodeon.ru/vote,0,http : / / kc a . nickelodeon . ru / vote,2,1,0,0,0,16,0,0,3,11,3,5.333,11,13,0,0,0,0.352,0,0,0,4,0,0.0,0.0,0,0,4.0,4,0,0.464,0,30,0,3,0.0
http://www.pcgamer.com/the-best-adventure-games/,0,http : / / www . pc gamer . com / the - best - adventure - games /,2,1,0,0,0,13,0,0,3,7,3,4.333,7,10,0,0,0,0.388,0,0,1,21,3,0.368,0.0,0,0,5.25,9,0,0.644,0,48,0,4,0.062
http://oberon.ssw.uni-linz.ac.at/Research/Projects/Oberon.html,0,http : / / oberon . ssw . uni - linz . ac . at / research / projects / oberon . html,4,2,1,1,0,20,0,0,5,8,10,3.333,6,11,1,0,0,0.609,0,0,2,26,1,0.184,0.0,0,0,6.5,8,0,0.496,0,62,0,5,0.016
http://mundodosaquarios.forumfacil.net/t1019-construir-aquario-de-450l,0,http : / / mundo dos aqua rios . forum fa ci l . net / t [digit] - con st ru ir - aqua rio - de - [digit] l,2,1,0,0,0,29,0,0,3,10,16,9.667,16,13,0,0,0,0.255,0,0,0,27,4,0.0,0.0,0,7,5.4,9,0,0.531,0,70,0,3,0.057
http://www.cogsci.ed.ac.uk/~richard/rxp.html,0,http : / / www . co gs ci . ed . ac . uk / ~ richard / r xp . html,4,2,0,0,0,15,0,0,5,2,10,3.0,6,6,0,0,0,0.473,0,0,1,14,2,0.368,0.0,0,0,5.0,8,0,0.816,0,44,0,4,0.0
http://www.beidou7.com/hr/index.htm?us.battle.net/login/en/?ref=xtvxcueus.battle.net/d3/en/index&app=com-d3,1,http : / / www . be i do u [digit] . com / hr / index . h t m,2,1,0,0,1,12,0,1,3,7,3,4.333,7,10,0,0,0,0.388,0,0,1,10,1,0.368,0.0,1,0,3.333,5,0,0.7,0,35,2,10,0.0
http://kenh14.vn/cine/dan-sao-va-hot-teen-viet-ru-nhau-den-xem-chiec-giay-pha-le-cua-lo-lem-2015031301445616.chn,0,http : / / ken h [digit] . v n / cine / dan - sao - va - hot - teen - viet - ru - nh au - den - x em - chi ec - gia y - ph a - le - cu a - lo - lem - [digit] . ch n,1,1,0,0,2,6,0,1,2,6,0,4.0,6,8,0,0,0,0.352,0,0,1,76,18,0.368,0.0,0,16,3.8,16,0,0.627,0,112,0,4,0.152
http://www.multicians.org/thvv/360-67.html,0,http : / / www . multi cia ns . org / th vv / [digit] - [digit] . html,2,1,0,0,0,16,0,0,3,10,3,5.333,10,13,0,0,0,0.352,0,0,1,13,2,0.368,0.0,0,5,3.25,4,0,0.844,0,42,0,4,0.024
http://yoxi.ru/shpilka-s-rezboy/,0,http : / / yo xi . ru / sh p il ka - s - re z boy /,1,1,0,0,0,6,0,0,2,4,0,3.0,4,6,0,0,0,0.401,0,0,1,14,2,0.368,0.0,0,0,4.667,7,0,0.704,0,32,0,4,0.062
http://www.automatemyhome.com/wp-includes/fonts/file/files/db/file.dropbox/,1,http : / / www . automate my home . com / wp - includes / fonts / file / files / db / file . dropbox /,2,1,0,0,0,20,0,0,3,14,3,6.667,14,17,0,0,0,0.314,0,0,6,37,2,0.001,0.0,0,0,4.625,8,0,0.653,0,75,0,9,0.013
http://alergiaaleite.com.br/qqqq/index.html,1,http : / / ale r gia a lei te . com . br / q q q q / index . html,2,2,0,0,0,18,0,0,3,13,0,6.0,13,18,0,0,1,0.332,0,0,1,13,1,0.368,0.0,0,0,4.333,5,0,0.625,0,43,0,4,0.0
https://climateofsophistry.com/,0,https : / / climate of sophistry . com /,1,1,0,0,0,21,0,0,2,18,0,10.5,18,21,0,0,0,0.203,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,31,0,3,0.0
http://match.com-mypictures.lyricsmantra.com/#/,1,http : / / match . com - my pictures . lyrics mantra . com /,3,1,1,0,0,33,0,0,4,12,20,6.6,12,15,1,0,0,0.435,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,47,0,4,0.021
http://www.poppy.co.za/nve/Gdoccc/,1,http : / / www . poppy . co . za / n ##ve / g do cc c /,3,2,0,0,0,12,0,0,4,5,3,3.0,5,9,0,0,0,0.464,0,0,2,9,0,0.184,0.0,0,0,4.5,6,0,0.5,0,34,0,5,0.0
http://9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?amp\%3Battredirects=1&amp;attachauth=ANoY7co9hyydkSNrB6ZEGPVyLH2gM9uDxwO-PRLfMtq-uozq-sJ9RQTxGMmyLdsA-71BP5D3UAAlOLXODXrUZ0qczJaexlgq-TFJaRpKi19f6MMVCgoerK3wvPiBS9tXUoZq4kjz5yZmnvK6gQ8lwMMxwL2yuD8a9N0hn7MRdGP2Yq97UWpcEfrsG24-EN_Ejc-SeGObOcz-_Rc9VlcP5L3G80OulDUMaw\%3D\%3D&amp;attredirects=0',1,http : / / [digit] d [digit] - a - [digit] cb [digit] a [digit] a - s - sites . google groups . com / site / stick am com login do / login . html,2,1,4,0,11,27,0,2,3,12,27,5.429,12,15,4,0,0,0.517,0,0,2,30,1,0.184,0.0,1,0,7.5,17,0,0.459,0,85,1,5,0.047
http://www.mobyfoo.org/atheos/,0,http : / / www . mob y foo . org / at he os /,2,1,0,0,0,13,0,0,3,7,3,4.333,7,10,0,0,0,0.388,0,0,1,6,0,0.368,0.0,0,0,6.0,6,0,0.5,0,30,0,4,0.0
http://paypal-confirmation.it.kizitowangalwa.co.ke/confirmation/6a9562a8bb2ec772cf2db78aea520ab1/Processing1.php?cmd=_Processing&amp;dispatch=5885d80a13c0db1fb6947b0aeae66fdbfb2119927117e3a6f876e0fd34af436587ff60a683626e54373f47cc7c64ada287ff60a683626e54373f47cc7c64ada2,1,http : / / paypal - confirmation . it . ki z ito wang al wa . co . ke / confirmation / [digit] a [digit] a [digit] bb [digit] ec [digit] cf [digit] db [digit] ae a [digit] ab [digit] / processing [digit] . php,4,2,1,0,0,38,0,0,5,14,22,6.333,14,18,1,0,0,0.445,0,0,2,58,1,0.102,0.159,1,18,14.5,32,0,0.307,0,112,1,5,0.009
http://www.jeffreymunns.co/jef/,1,http : / / www . jeffrey mu n ns . co / je f /,2,1,0,0,0,17,0,0,3,12,3,5.667,12,14,0,0,0,0.342,0,0,1,3,0,0.368,0.0,0,0,3.0,3,0,0.529,0,31,0,4,0.0
http://philipkdickaward.org,0,http : / / philip k dick award . org,1,1,0,0,0,19,0,0,2,16,0,9.5,16,19,0,0,0,0.216,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,27,0,2,0.0
http://paypal.com.us.cgi.bin.webscr.cmd.login.member.verifed.interhottap.com.mx/54855458214/3a26a7f6359987a940f584258293dda1/,1,http : / / paypal . com . us . cgi . bin . web scr . cm d . login . member . ve ri fed . inter hot tap . com . mx / [digit] / [digit] a [digit] a [digit] f [digit] a [digit] f [digit] dd a [digit] /,12,2,0,0,0,60,0,0,13,11,53,4.615,11,16,0,0,1,0.431,0,0,2,43,0,0.085,0.147,0,35,21.5,32,0,0.257,0,125,0,5,0.0
http://sophrocentreannemasse.com/cliente=bdb/auto-atendimento-pessoafisica/LOGINORIGEM=6/,1,http : / / soph ro centre anne mass e . com / client e = b db / auto - at end i men to - pe ss o a fis ic a / login or i gem = [digit] /,1,1,0,0,0,24,0,0,2,21,0,12.0,21,24,0,0,0,0.186,0,0,3,49,4,0.059,0.007,0,1,10.2,13,0,0.608,0,89,0,6,0.022
http://tibia.with.pacc.w.interia.pl/secure.tibia.com/account/index.html,1,http : / / tibia . with . pac c . w . inter ia . pl / secure . tibia . com / account / index . html,5,1,0,0,0,23,0,0,6,7,17,3.833,7,9,0,0,0,0.444,0,0,2,30,3,0.184,0.0,0,0,5.0,7,0,0.597,0,71,0,5,0.0
https://www.hayaleturk.com/confessions-kokuhaku-film-oneri/,0,https : / / www . ha yale turk . com / confessions - ko ##ku haku - film - one ri /,2,1,0,0,0,16,0,0,3,10,3,5.333,10,13,0,0,0,0.352,0,0,1,28,3,0.368,0.0,0,0,7.0,11,0,0.56,0,59,0,4,0.051
http://www.zuoyuhuimo.com/data/pp/webscr.htm,1,http : / / www . zu o yu hui mo . com / data / pp / web scr . h t m,2,1,0,0,0,16,0,0,3,10,3,5.333,10,13,0,0,0,0.352,0,0,2,15,1,0.184,0.0,0,0,3.75,6,0,0.644,0,44,0,5,0.0
https://lemedecin.fr/,0,https : / / le me dec in . fr /,1,1,0,0,0,11,0,0,2,9,0,5.5,9,11,0,0,0,0.299,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,21,0,3,0.0
http://www.nag.com/lapack-ex/lapack-ex.html,0,http : / / www . nag . com / lap ac k - ex / lap ac k - ex . html,2,1,0,0,0,9,0,0,3,3,3,3.0,3,6,0,0,0,0.447,0,0,1,20,3,0.368,0.0,0,0,4.0,6,0,0.769,0,43,0,4,0.047
http://tools.ietf.org/html/rfc1952,0,http : / / tools . ie t f . org / html / rfc [digit],2,1,0,0,0,12,0,0,3,4,5,4.0,5,7,0,0,0,0.401,0,0,1,11,0,0.368,0.0,0,4,5.5,7,0,0.415,0,34,0,4,0.0
http://babal.net/news/267/%D8%A7%D9%84%D8%A8%D8%AD%D8%B1-%D8%A7%D9%84%D8%A3%D8%AD%D9%85%D8%B1,0,http : / / baba l . net / news / [digit] / [UNK] - [UNK],1,1,0,0,0,8,0,0,2,5,0,4.0,5,8,0,0,0,0.352,0,0,2,18,1,0.215,0.173,0,3,4.5,6,0,0.595,0,38,0,5,0.026
http://www.itkib.org.tr/english/about/sectors/textile/textile_info.pdf,0,http : / / www . it ki b . org . tr / english / about / sectors / textile / textile _ info . pdf,3,2,0,0,0,13,0,0,4,5,3,3.25,5,10,0,0,1,0.453,0,0,4,40,2,0.015,0.0,0,0,6.833,12,0,0.58,0,70,0,7,0.0
http://www.ee.ryerson.ca:8080/~elf/xapps/Q-III.html,0,http : / / www . ee . rye rs on . ca : [digit] / ~ elf / x apps / q - iii . html,3,1,1,0,4,14,0,0,4,7,6,4.75,7,9,0,0,0,0.595,0,0,2,16,3,0.184,0.0,0,0,3.4,5,0,1.0,0,51,0,5,0.02
http://www.masslung.com/1drivestmp/,1,http : / / www . mass lung . com / [digit] drives t mp /,2,1,0,0,0,14,0,0,3,8,3,4.667,8,11,0,0,0,0.375,0,0,1,10,0,0.366,0.09,0,1,10.0,10,0,0.431,0,35,0,4,0.0
https://modelemax.pl/pl/764-czesci-dymond,0,https : / / model em ax . pl / pl / [digit] - c ##ze sci - d y mon d,1,1,0,0,0,11,0,0,2,9,0,5.5,9,11,0,0,0,0.299,0,0,1,17,2,0.368,0.0,0,3,4.25,6,0,0.646,0,41,0,4,0.049
http://www.klincz.pl/images/stories/food/paypal.co.info.com.nz.au/webscr.php?cmd=_login-run&dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4e8f9e5083ffbd8d2aca85164300179e0f7e045083ffbd8d2aca85164300179e0f7e045,1,http : / / www . k lin cz . pl / images / stories / food / paypal . co . info . com . nz . au / web scr . php,2,1,0,0,0,11,0,0,3,6,3,3.667,6,8,0,0,0,0.415,0,0,4,45,6,0.015,0.0,1,0,4.091,7,0,0.656,0,76,1,7,0.0
https://mymount.msj.edu/ICS/icsfs/St.pdf?target=98ddd24c-9298-45ca-a1b0-279fc046331f,0,https : / / my mount . ms j . ed u / ic s / i cs f s / st . pdf,2,1,0,0,0,13,0,0,3,3,7,4.333,7,6,0,0,0,0.388,0,0,2,13,1,0.184,0.0,1,0,3.25,5,0,0.682,0,40,1,5,0.0
http://noema.ru,0,http : / / no em a . ru,1,1,0,0,0,7,0,0,2,5,0,3.5,5,7,0,0,0,0.375,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,15,0,2,0.0
